City,Country,Housing Affordability,Living Costs by Income,Unemployment,Education,Safety,Mobility,Air Quality,Healthcare,Kids Activities,Paid Parental Leave,Family Inclusivity,Neighbourhood Safety,Family-Friendliness,Total,Lat,Long
Helsinki,Finland,76.29,91.71,9.20,92.54,88.7,77.30,19.11,84.40,71.15,1190,100.00,89,95,100.0,60.1674098,24.9425769
Quebec,Canada,99.81,86.30,3.80,95.23,92.5,73.02,18.00,76.32,78.66,364,100.00,94,92,99.06,52.4760892,-71.8258668
Oslo,Norway,84.60,94.95,2.30,89.08,87.3,75.95,22.49,85.97,68.67,707,100.00,87,96,98.13,59.9133301,10.7389701
Munich,Germany,83.49,100.00,3.77,90.06,90.4,79.00,21.38,73.33,78.16,467,100.00,83,94,96.75,48.1371079,11.5753822
Copenhagen,Denmark,80.60,94.88,4.40,89.08,93.6,98.09,26.54,73.47,78.79,364,100.00,81,92,96.53,55.6867243,12.5700724
Stockholm,Sweden,84.22,97.04,5.90,87.46,91.3,94.29,26.14,81.14,68.26,490,100.00,82,89,96.15,59.3251172,18.0710935
Reykjavik,Iceland,87.07,91.55,3.10,84.69,95.0,92.23,15.06,85.65,62.65,273,100.00,90,81,94.4,64.145981,-21.9422367
Calgary,Canada,95.19,88.33,7.70,95.99,89.1,72.08,10.74,78.18,67.91,364,100.00,90,90,93.69,51.0534234,-114.0625892
Montreal,Canada,81.32,88.08,6.10,95.23,89.5,73.22,15.67,75.34,77.53,364,100.00,91,87,92.08,45.4972159,-73.6103642
Gothenburg,Sweden,88.89,95.42,7.10,87.46,85.5,90.62,18.60,81.24,53.54,490,100.00,85,92,91.26,57.7072326,11.9670171
Tokyo,Japan,58.39,89.05,2.80,93.67,91.7,88.37,28.28,82.80,81.01,770,9.53,98,90,91.23,35.6828387,139.7594549
Osaka,Japan,82.84,87.07,3.20,93.67,91.1,83.66,31.97,77.10,59.91,770,9.53,96,90,90.68,34.6198813,135.490357
Stuttgart,Germany,89.92,93.02,4.20,88.83,88.3,72.41,24.42,71.59,65.01,467,100.00,74,90,90.3,48.7784485,9.1800132
Ottawa,Canada,87.64,84.42,4.60,92.79,90.5,64.99,11.00,77.78,60.78,364,100.00,87,91,89.67,45.421106,-75.690308
Hamburg,Germany,88.62,93.22,6.33,88.71,84.4,68.68,21.21,72.40,76.38,467,100.00,82,94,89.11,53.5437641,10.0099133
Hanover,Germany,98.38,89.55,6.62,87.14,85.7,79.16,22.39,72.53,64.42,467,100.00,76,85,88.73,52.3744779,9.7385532
Frankfurt,Germany,86.10,90.84,5.38,88.94,87.7,84.29,26.61,72.10,57.59,467,100.00,77,87,88.52,50.1106444,8.6820917
Uppsala,Sweden,88.88,91.84,5.70,87.46,86.4,89.07,24.34,81.60,32.34,490,100.00,88,92,88.23,59.8586126,17.6387436
Dresden,Germany,90.80,86.18,6.10,90.40,88.3,77.43,26.52,74.60,64.81,467,100.00,73,70,87.76,51.0493286,13.7381437
Berlin,Germany,82.75,88.75,8.13,88.94,85.9,77.37,24.16,71.19,89.43,467,100.00,74,82,87.64,52.5170365,13.3888599
Malmo,Sweden,93.18,94.25,13.90,87.46,83.9,92.36,19.60,81.84,56.36,490,100.00,83,95,87.62,55.6052931,13.0001566
Adelaide,Australia,92.96,95.01,5.84,87.56,89.8,55.66,16.66,84.28,60.14,140,100.00,87,90,86.85,-34.9281805,138.5999312
Singapore,Singapore,63.78,88.39,2.10,98.00,95.3,100.00,30.00,67.60,81.52,119,1.00,97,89,86.6,1.357107,103.8194992
San Francisco,US,81.83,90.55,2.68,85.53,83.3,79.96,15.77,65.44,98.39,117,100.00,85,79,86.38,37.7647993,-122.4629897
Dusseldorf,Germany,85.72,86.77,6.73,88.49,88.2,81.93,25.67,72.45,56.86,467,100.00,79,87,86.02,51.2254018,6.7763137
Leipzig,Germany,91.85,80.38,6.74,90.40,85.5,78.90,25.86,71.09,61.73,467,100.00,80,83,85.08,51.3406321,12.3747329
Boston,US,77.82,82.77,3.11,92.33,87.0,81.55,12.32,73.98,76.41,0,100.00,78,86,84.96,42.3602534,-71.0582912
San Diego,US,80.53,90.59,3.30,85.53,86.8,62.27,15.05,68.65,93.85,117,100.00,74,92,84.75,32.7174209,-117.1627714
Vienna,Austria,74.07,88.88,12.30,86.82,89.6,74.27,25.73,79.05,79.16,481,100.00,89,92,84.64,48.2083537,16.3725042
Seattle,US,87.73,87.99,3.88,87.28,84.3,66.25,11.97,72.09,87.08,0,100.00,87,90,84.43,47.6038321,-122.3300624
Cologne,Germany,88.40,86.42,7.85,88.49,85.4,75.33,24.47,72.39,58.37,467,100.00,79,85,83.79,50.938361,6.959974
Perth,Australia,90.31,83.40,6.29,89.26,87.5,62.87,16.77,85.24,60.15,140,100.00,90,87,83.39,-31.9527121,115.8604796
Antwerp,Belgium,93.90,83.14,4.40,88.78,83.3,56.19,26.75,76.33,78.99,361,100.00,73,69,83.39,51.2211097,4.3997081
Toronto,Canada,65.57,71.14,6.00,92.79,90.8,63.34,14.33,77.94,83.80,364,100.00,93,89,83.26,43.653963,-79.387207
Vancouver,Canada,62.29,79.32,4.40,95.61,88.3,58.29,12.26,77.72,69.25,364,100.00,87,88,83.04,49.2608724,-123.1139529
Zurich,Switzerland,89.83,81.51,3.80,89.45,87.8,70.36,20.43,82.77,63.06,98,68.38,98,90,82.95,47.3723941,8.5423328
Basel,Switzerland,95.30,73.52,3.60,89.45,91.2,64.79,20.10,82.23,66.21,98,68.38,95,91,82.87,47.5581077,7.5878261
Wellington,New Zealand,81.46,85.80,4.63,89.34,91.5,54.85,12.90,73.51,60.94,126,100.00,92,94,82.8,-41.2887953,174.7772114
Brisbane,Australia,84.58,85.18,4.43,87.05,89.4,63.09,15.84,85.70,51.01,140,100.00,89,90,82.69,-27.4689682,153.0234991
Strasbourg,France,91.90,80.73,7.50,88.34,84.8,66.59,25.00,74.17,56.54,490,100.00,92,87,82.48,48.584614,7.7507127
Essen,Germany,100.00,85.47,10.60,88.49,85.1,80.28,24.03,74.76,44.20,467,100.00,81,75,82.38,51.4582235,7.0158171
Minneapolis,US,88.57,85.35,2.68,87.44,85.5,67.91,12.18,74.33,62.43,0,100.00,89,92,82.34,44.9772995,-93.2654692
Portland,US,87.44,84.96,3.79,86.20,87.3,64.84,10.44,68.70,75.02,0,100.00,88,93,82.24,45.5202471,-122.6741949
Bremen,Germany,93.52,82.17,9.30,88.26,84.6,69.33,20.39,71.39,58.13,467,100.00,82,90,82.06,53.0758196,8.8071646
Omaha,US,93.56,90.50,2.87,86.94,84.4,63.13,15.47,64.11,64.85,0,100.00,92,89,81.93,41.2587459,-95.9383758
Dortmund,Germany,94.42,84.05,10.26,88.49,84.8,80.63,24.35,73.06,46.64,467,100.00,75,92,81.82,51.5142273,7.4652789
Sydney,Australia,58.64,79.85,4.35,87.94,89.1,65.18,16.56,85.33,90.86,140,100.00,91,85,81.46,-33.8548157,151.2164539
Austin,US,87.70,94.49,2.92,85.70,86.7,53.59,14.30,56.33,76.74,0,100.00,81,91,81.08,30.2711286,-97.7436995
Denver,US,88.58,89.76,3.01,86.86,83.8,61.67,11.02,67.83,66.90,0,100.00,92,84,80.96,39.7348381,-104.9653271
Melbourne,Australia,67.50,81.81,5.41,88.74,86.8,75.63,18.75,84.01,70.94,140,100.00,92,91,80.83,-37.8142176,144.9631608
Lyon,France,82.78,89.93,8.00,87.78,82.2,65.44,22.00,72.11,58.15,490,100.00,76,91,80.78,45.7578137,4.8320114
Christchurch,New Zealand,95.95,82.51,3.70,89.34,88.2,54.55,20.85,74.98,42.81,126,100.00,88,93,80.68,-43.530955,172.6366455
Geneva,Switzerland,83.97,81.23,4.50,89.45,89.1,63.79,20.75,81.00,65.90,98,68.38,87,89,80.11,46.2017559,6.1466014
Tampa,US,90.30,91.25,3.40,86.03,84.9,61.31,12.37,63.64,70.80,0,84.60,84,81,79.69,27.9477595,-82.458444
London,UK,57.70,72.54,4.75,89.51,84.3,76.60,15.76,71.34,98.28,287,100.00,89,79,79.54,51.5073219,-0.1276474
Chicago,US,81.40,83.16,4.16,86.28,83.8,83.88,21.54,62.94,90.95,0,100.00,65,72,79.46,41.8755616,-87.6244212
Charlotte,US,92.00,94.51,3.63,85.62,84.3,61.31,15.07,57.06,63.62,0,92.30,85,91,79.39,35.2270869,-80.8431268
Amsterdam,Netherlands,64.15,62.56,3.80,89.77,89.4,85.66,23.06,83.46,78.74,115,100.00,91,89,79.08,52.3727598,4.8936041
Colorado Springs,US,90.97,86.61,3.68,86.86,84.3,55.87,10.71,65.69,62.00,0,100.00,92,90,78.86,38.8339578,-104.8253485
Tallinn,Estonia,67.33,65.47,4.80,92.84,82.7,54.88,13.95,53.43,61.38,1176,67.55,96,91,78.86,59.4250354,24.74386926051089
Virginia Beach,US,94.71,91.26,3.33,87.03,83.1,54.86,12.95,65.47,65.23,0,84.60,70,92,78.77,36.8529841,-75.9774183
Rotterdam,Netherlands,71.45,70.97,4.30,89.77,87.7,82.18,23.71,85.31,58.35,115,100.00,83,94,78.72,51.9278469,4.488595428701715
Oakland,US,82.97,92.44,2.68,85.53,81.2,50.69,15.77,70.45,67.14,117,100.00,84,87,78.49,37.8044557,-122.2713563
Luxembourg City,Luxembourg,74.16,83.60,5.60,85.13,85.6,43.37,22.04,84.09,56.22,479,100.00,90,93,77.95,49.6112768,6.129799
Dallas,US,88.88,92.17,3.49,85.70,83.3,65.20,15.84,55.18,72.20,0,100.00,62,81,77.94,32.7762719,-96.7968559
Washington,US,85.08,91.24,3.37,83.29,84.0,67.50,14.68,54.11,82.71,0,100.00,73,69,77.75,38.8948932,-77.0365529
Atlanta,US,89.45,93.56,3.69,86.11,81.1,69.34,16.61,51.23,71.98,0,100.00,71,74,77.55,33.7490987,-84.3901849
Utrecht,Netherlands,78.85,65.19,3.40,89.77,88.9,77.89,19.88,84.13,56.13,115,100.00,76,78,77.42,52.0949753,5.109708
New York,US,66.67,72.03,4.02,86.03,82.2,86.15,16.27,66.43,98.53,180,100.00,81,67,77.35,40.7127281,-74.0060152
Pittsburgh,US,90.82,83.89,4.28,86.86,86.1,68.83,19.24,64.06,61.88,0,100.00,70,75,77.28,40.4416941,-79.9900861
Madrid,Spain,57.38,79.80,11.50,90.43,86.2,93.62,18.68,73.11,84.27,127,100.00,81,86,77.22,40.4167047,-3.7035825
Phoenix,US,89.92,87.40,4.14,85.95,82.4,58.42,13.53,58.80,67.74,0,100.00,92,88,77.16,33.4484367,-112.0741417
Los Angeles,US,72.72,87.36,4.21,85.53,81.3,56.45,19.93,64.80,100.00,117,100.00,60,82,76.77,34.0536909,-118.2427666
Toulouse,France,88.21,78.99,8.10,87.78,81.9,62.53,19.17,73.58,49.19,490,100.00,73,84,76.77,43.6044622,1.4442469
Prague,Czechia,36.91,63.51,1.93,86.52,89.0,83.98,26.78,63.38,95.26,770,76.08,82,78,76.76,50.0874654,14.4212535
Edinburgh,UK,75.61,67.29,4.00,88.25,85.1,72.00,13.54,63.05,68.01,287,100.00,93,86,76.56,55.9533456,-3.1883749
San Jose,US,85.80,96.25,2.64,85.53,85.9,48.58,27.00,68.23,51.05,117,100.00,86,68,76.46,37.3361905,-121.8905833
Jacksonville,US,94.98,91.98,3.33,86.03,81.1,55.41,14.59,65.22,56.81,0,84.60,82,84,76.46,30.3321838,-81.655651
Paris,France,51.98,75.60,7.00,88.71,85.2,74.72,27.75,72.16,89.96,490,100.00,62,77,76.32,48.8566969,2.3514616
Oklahoma City,US,95.56,87.39,3.28,85.20,83.0,58.84,17.08,50.62,61.39,0,100.00,81,85,75.66,35.4729886,-97.5170536
